winner_faction;loser_faction;winner;loser;wins;losses;title;file
Drakes;Loyalists;abhijit;Cackfiend;Ladder Cackfiend vs abhijit;download-replay.php?reported_on=2013-01-18+07%3A00%3A26.xml
Northerners;Rebels;vandal;abhijit;ladder;download-replay.php?reported_on=2013-01-18+15%3A53%3A36.xml
Undead;Loyalists;GaretJax;abhijit;ladder;download-replay.php?reported_on=2013-01-18+19%3A27%3A19.xml
Loyalists;Knalgan Alliance;Cackfiend;GaretJax;Ladder Cackfiend vs Garetjax;download-replay.php?reported_on=2013-01-20+03%3A14%3A33.xml
Loyalists;Undead;Cackfiend;abhijit;Ladder Cackfiend vs abhijit;download-replay.php?reported_on=2013-01-20+07%3A36%3A11.xml
Loyalists;Rebels;Bonobo;Abstract;gamingladder.wesnoth.org game - Bonobo vs Abstract;download-replay.php?reported_on=2013-01-21+07%3A09%3A33.xml
Knalgan Alliance;Undead;GaretJax;Undertaker;ladder for Undertaker;download-replay.php?reported_on=2013-01-21+20%3A49%3A38.xml
Loyalists;Northerners;Cackfiend;Undertaker;Ladder Cackfiend vs Undertaker http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-01-22+01%3A58%3A27.xml
Northerners;Drakes;Spelp;Bonobo;LADDER vs Spelp;download-replay.php?reported_on=2013-01-22+09%3A17%3A50.xml
Loyalists;Knalgan Alliance;Cackfiend;Spelp;LADDER - Cackfiend vs Spelp - http://wesnoth.gamingladder.info;download-replay.php?reported_on=2013-01-23+08%3A43%3A02.xml
Northerners;Knalgan Alliance;Undertaker;Bonobo;ladder game;download-replay.php?reported_on=2013-01-23+12%3A23%3A11.xml
Loyalists;Knalgan Alliance;Undertaker;Bonobo;ladder for bonobo;download-replay.php?reported_on=2013-01-23+13%3A21%3A52.xml
Drakes;Northerners;Castoridae;The_Black_Sword;The_Black_Sword vs Castoridae (Ladder);download-replay.php?reported_on=2013-01-25+21%3A00%3A00.xml
Loyalists;Undead;abhijit;GaretJax;ladder for abhijit;download-replay.php?reported_on=2013-01-26+17%3A41%3A57.xml
Loyalists;Northerners;Cackfiend;abhijit;Ladder Cackfiend vs abhijit http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-01-27+06%3A07%3A49.xml
Loyalists;Knalgan Alliance;Cackfiend;abhijit;Ladder Cackfiend vs abhijit http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-01-27+07%3A35%3A47.xml
Knalgan Alliance;Loyalists;abhijit;Spelp;LADDER vs Spelp - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-01-27+12%3A23%3A56.xml
Northerners;Rebels;Bonobo;plk2;ladder for plk2;download-replay.php?reported_on=2013-01-28+02%3A43%3A39.xml
Northerners;Knalgan Alliance;Bonobo;GaretJax;ladder for Bonobo;download-replay.php?reported_on=2013-01-28+02%3A48%3A53.xml
Northerners;Knalgan Alliance;Bonobo;GaretJax;ladder for Bonobo;download-replay.php?reported_on=2013-01-28+04%3A16%3A00.xml
Undead;Rebels;khorne-flakes;Fanjo;Ladder game;download-replay.php?reported_on=2013-01-28+13%3A49%3A27.xml
Drakes;Knalgan Alliance;GaretJax;Undertaker;ladder for Undertaker;download-replay.php?reported_on=2013-01-29+00%3A15%3A40.xml
Loyalists;Undead;GaretJax;Undertaker;ladder for Undertaker;download-replay.php?reported_on=2013-01-29+01%3A13%3A39.xml
Drakes;Knalgan Alliance;khorne-flakes;abhijit;Ladder ab vs kh;download-replay.php?reported_on=2013-01-29+14%3A22%3A25.xml
Northerners;Knalgan Alliance;Rene;Danniel_BR;Ladder;download-replay.php?reported_on=2013-01-29+15%3A42%3A40.xml
Loyalists;Northerners;GaretJax;Undertaker;ladder;download-replay.php?reported_on=2013-01-29+15%3A50%3A18.xml
Drakes;Northerners;Rene;Danniel_BR;Ladder - Danniel x Rene;download-replay.php?reported_on=2013-01-29+18%3A00%3A00.xml
Loyalists;Rebels;Cackfiend;GaretJax;Ladder Cackfiend vs GaretJax http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-01-30+04%3A24%3A06.xml
Northerners;Loyalists;Cackfiend;GaretJax1;Ladder Cackfiend vs GaretJax http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-01-30+06%3A29%3A34.xml
Loyalists;Rebels;Cackfiend;abhijit;Ladder http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-01-30+08%3A23%3A06.xml
Rebels;Loyalists;Spelp;Bonobo;LADDER vs Spelp - http://wesnoth.gamingladder.info;download-replay.php?reported_on=2013-01-30+10%3A29%3A44.xml
Northerners;Knalgan Alliance;Spelp;Bonobo;LADDER - Bonobo vs Spelp - http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-01-30+10%3A32%3A13.xml
Loyalists;Northerners;Cackfiend;enacui;Ladder Cackfiend vs enacui http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-01-31+06%3A42%3A08.xml
Loyalists;Knalgan Alliance;GaretJax;Undertaker;LADDER GAME ;download-replay.php?reported_on=2013-02-01+02%3A27%3A30.xml
Rebels;Northerners;Oook;GaretJax;ladder for Oook;download-replay.php?reported_on=2013-02-01+16%3A06%3A03.xml
Loyalists;Undead;Undertaker;GaretJax;ladder for Undertaker;download-replay.php?reported_on=2013-02-01+18%3A56%3A07.xml
Drakes;Loyalists;plk2;GaretJax;ladder for plk2;download-replay.php?reported_on=2013-02-02+17%3A03%3A24.xml
Drakes;Loyalists;Dauntless;Undertaker;LADDER FOR Dauntless;download-replay.php?reported_on=2013-02-02+23%3A13%3A57.xml
Rebels;Knalgan Alliance;Cackfiend;abhijit;Ladder http://wesnoth.gamingladder.info/;download-replay.php?reported_on=2013-02-04+06%3A10%3A02.xml
Northerners;Rebels;enacui;Fanjo;Ladder game;download-replay.php?reported_on=2013-02-05+13%3A29%3A41.xml
Rebels;Northerners;GaretJax;Dauntless;ladder;download-replay.php?reported_on=2013-02-05+17%3A06%3A32.xml
